Country/Territory,Cause,Total_Cases
Algeria,Cirrhosis and Other Chronic Liver Diseases,91927
Algeria,Nutritional Deficiencies,7138
Algeria,Poisonings,12337
Algeria,Diabetes Mellitus,89035
Algeria,Exposure to Forces of Nature,4032
Algeria,Parkinson's Disease,22943
Algeria,Maternal Disorders,29475
Algeria,Tuberculosis,18089
Algeria,Cardiovascular Diseases,2123720
Algeria,Acute Hepatitis,10492
Algeria,Alcohol Use Disorders,2748
Algeria,Protein-Energy Malnutrition,6407
Algeria,HIV/AIDS,6101
Algeria,Digestive Diseases,146527
Algeria,Road Injuries,369395
Algeria,Diarrheal Diseases,34410
Algeria,Malaria,70
American Samoa,Road Injuries,164
American Samoa,Conflict and Terrorism,10
American Samoa,Cardiovascular Diseases,2851
American Samoa,Tuberculosis,30
American Samoa,Acute Hepatitis,0
American Samoa,Diarrheal Diseases,89
American Samoa,Interpersonal Violence,101
American Samoa,Cirrhosis and Other Chronic Liver Diseases,181
American Samoa,Alzheimer's Disease and Other Dementias,143
American Samoa,Malaria,0
American Samoa,Diabetes Mellitus,970
American Samoa,Alcohol Use Disorders,17
American Samoa,Drug Use Disorders,0
American Samoa,Chronic Respiratory Diseases,612
American Samoa,Neoplasms,1474
American Samoa,Drowning,120
American Samoa,Chronic Kidney Disease,512
American Samoa,Nutritional Deficiencies,60
American Samoa,HIV/AIDS,15
American Samoa,Poisonings,0
American Samoa,Maternal Disorders,30
American Samoa,Parkinson's Disease,69
American Samoa,Protein-Energy Malnutrition,60
American Samoa,Lower Respiratory Infections,328
American Samoa,Environmental Heat and Cold Exposure,25
American Samoa,Digestive Diseases,341
American Samoa,Self-harm,100
American Samoa,Exposure to Forces of Nature,41
American Samoa,Meningitis,30
American Samoa,Neonatal Disorders,246
American Samoa,"Fire, Heat, and Hot Substances",0
Andorra,Protein-Energy Malnutrition,0
Andorra,Road Injuries,259
Andorra,Alcohol Use Disorders,30
Andorra,Digestive Diseases,560
Andorra,Maternal Disorders,0
Andorra,Exposure to Forces of Nature,0
Andorra,Diabetes Mellitus,198
Andorra,Cardiovascular Diseases,3526
Andorra,Parkinson's Disease,137
Andorra,Tuberculosis,0
Andorra,HIV/AIDS,85
Andorra,Acute Hepatitis,30
Andorra,Poisonings,0
Andorra,Environmental Heat and Cold Exposure,0
Andorra,Alzheimer's Disease and Other Dementias,614
Andorra,Neonatal Disorders,24
Andorra,Conflict and Terrorism,0
Andorra,Chronic Respiratory Diseases,838
Andorra,Meningitis,0
Andorra,"Fire, Heat, and Hot Substances",0
Andorra,Nutritional Deficiencies,0
Andorra,Malaria,0
Andorra,Chronic Kidney Disease,292
Andorra,Drowning,0
Andorra,Interpersonal Violence,15
Andorra,Drug Use Disorders,0
Andorra,Neoplasms,5015
Andorra,Cirrhosis and Other Chronic Liver Diseases,283
Andorra,Self-harm,220
Andorra,Diarrheal Diseases,16
Andorra,Lower Respiratory Infections,390
Angola,"Fire, Heat, and Hot Substances",15712
Angola,Cirrhosis and Other Chronic Liver Diseases,119381
Angola,Parkinson's Disease,4486
Angola,Alzheimer's Disease and Other Dementias,17704
Angola,Exposure to Forces of Nature,742
Angola,Neoplasms,237225
Angola,Malaria,317069
Angola,Environmental Heat and Cold Exposure,3520
Angola,Nutritional Deficiencies,235181
Angola,Cardiovascular Diseases,525047
Angola,Poisonings,14022
Angola,Drug Use Disorders,1190
Angola,HIV/AIDS,244358
Angola,Tuberculosis,473636
Angola,Lower Respiratory Infections,564508
Angola,Diabetes Mellitus,73366
Angola,Acute Hepatitis,14431
Angola,Meningitis,110893
Angola,Conflict and Terrorism,54203
Angola,Digestive Diseases,190974
Angola,Protein-Energy Malnutrition,229863
Angola,Chronic Kidney Disease,49080
Angola,Diarrheal Diseases,810148
Angola,Alcohol Use Disorders,4289
Angola,Neonatal Disorders,554921
Angola,Self-harm,40895
Angola,Chronic Respiratory Diseases,101847
Angola,Drowning,34337
Angola,Maternal Disorders,61545
Angola,Interpersonal Violence,20795
Angola,Road Injuries,241350
Antigua and Barbuda,Poisonings,8
Antigua and Barbuda,Drowning,120
Antigua and Barbuda,Drug Use Disorders,6
Antigua and Barbuda,Conflict and Terrorism,1
Antigua and Barbuda,Environmental Heat and Cold Exposure,0
Antigua and Barbuda,Lower Respiratory Infections,779
Antigua and Barbuda,Neonatal Disorders,253
Antigua and Barbuda,Alzheimer's Disease and Other Dementias,428
Antigua and Barbuda,Chronic Respiratory Diseases,246
Antigua and Barbuda,Self-harm,65
Antigua and Barbuda,Exposure to Forces of Nature,39
Antigua and Barbuda,Meningitis,40
Antigua and Barbuda,Nutritional Deficiencies,87
Antigua and Barbuda,Neoplasms,3004
Antigua and Barbuda,Chronic Kidney Disease,693
Antigua and Barbuda,Interpersonal Violence,119
Antigua and Barbuda,Road Injuries,187
Antigua and Barbuda,Digestive Diseases,566
Antigua and Barbuda,Protein-Energy Malnutrition,84
Antigua and Barbuda,Alcohol Use Disorders,138
Antigua and Barbuda,Diarrheal Diseases,62
Antigua and Barbuda,Acute Hepatitis,0
Antigua and Barbuda,Diabetes Mellitus,1329
Antigua and Barbuda,"Fire, Heat, and Hot Substances",60
Antigua and Barbuda,Maternal Disorders,0
Antigua and Barbuda,Cardiovascular Diseases,5264
Antigua and Barbuda,Parkinson's Disease,117
Antigua and Barbuda,HIV/AIDS,258
Antigua and Barbuda,Tuberculosis,11
Antigua and Barbuda,Malaria,0
Antigua and Barbuda,Cirrhosis and Other Chronic Liver Diseases,301
Argentina,Environmental Heat and Cold Exposure,1567
Argentina,Parkinson's Disease,68278
Argentina,Neoplasms,2113666
Argentina,Digestive Diseases,422716
Argentina,"Fire, Heat, and Hot Substances",20991
Argentina,Neonatal Disorders,173947
Argentina,Lower Respiratory Infections,697414
Argentina,Alcohol Use Disorders,27147
Argentina,Diarrheal Diseases,23155
Argentina,Chronic Respiratory Diseases,463952
Argentina,Conflict and Terrorism,773
Argentina,Cirrhosis and Other Chronic Liver Diseases,201480
Argentina,Nutritional Deficiencies,44066
Argentina,Cardiovascular Diseases,2836128
Argentina,Malaria,123
Argentina,Drowning,24300
Argentina,Maternal Disorders,12521
Argentina,Drug Use Disorders,1535
Argentina,Chronic Kidney Disease,357513
Argentina,Alzheimer's Disease and Other Dementias,261721
Argentina,Interpersonal Violence,72506
Argentina,Protein-Energy Malnutrition,41935
Argentina,Self-harm,127809
Argentina,Acute Hepatitis,1732
Argentina,Road Injuries,172081
Argentina,Exposure to Forces of Nature,425
Argentina,HIV/AIDS,48615
Argentina,Poisonings,8654
Argentina,Diabetes Mellitus,278201
Argentina,Meningitis,17548
Argentina,Tuberculosis,30389
Armenia,Alcohol Use Disorders,2592
Armenia,Diabetes Mellitus,34565
Armenia,Interpersonal Violence,5250
Armenia,Diarrheal Diseases,3402
Armenia,Cirrhosis and Other Chronic Liver Diseases,24100
Armenia,Drug Use Disorders,225
Armenia,Road Injuries,10213
Armenia,Drowning,4519
Armenia,Lower Respiratory Infections,18723
Armenia,Self-harm,6308
Armenia,Tuberculosis,3830
Armenia,Nutritional Deficiencies,817
Armenia,Chronic Kidney Disease,7571
Armenia,Protein-Energy Malnutrition,324
Armenia,Digestive Diseases,38666
Armenia,"Fire, Heat, and Hot Substances",2944
Armenia,Maternal Disorders,377
Armenia,HIV/AIDS,264
Armenia,Parkinson's Disease,3739
Armenia,Environmental Heat and Cold Exposure,4172
Armenia,Poisonings,1182
Armenia,Meningitis,423
Armenia,Neonatal Disorders,14572
Armenia,Exposure to Forces of Nature,13
Armenia,Malaria,5
Armenia,Neoplasms,154102
Armenia,Conflict and Terrorism,357
Armenia,Acute Hepatitis,154
Armenia,Alzheimer's Disease and Other Dementias,15714
Armenia,Cardiovascular Diseases,388635
Armenia,Chronic Respiratory Diseases,35416
Australia,Acute Hepatitis,288
Australia,Environmental Heat and Cold Exposure,1272
Australia,Interpersonal Violence,9659
Australia,Alzheimer's Disease and Other Dementias,210625
Australia,Diarrheal Diseases,3949
Australia,Cirrhosis and Other Chronic Liver Diseases,50555
Australia,HIV/AIDS,6067
Australia,Neoplasms,1222858
Australia,Drug Use Disorders,23866
Australia,Cardiovascular Diseases,1441279
Australia,Road Injuries,57136
Australia,Conflict and Terrorism,55
Australia,Self-harm,78158
Australia,Maternal Disorders,497
Australia,Lower Respiratory Infections,87541
Australia,Chronic Respiratory Diseases,251004
Australia,"Fire, Heat, and Hot Substances",4013
Australia,Nutritional Deficiencies,3778
Australia,Digestive Diseases,146403
Australia,Chronic Kidney Disease,94106
Australia,Protein-Energy Malnutrition,2899
Australia,Exposure to Forces of Nature,259
Australia,Poisonings,1417
Australia,Parkinson's Disease,48084
Australia,Tuberculosis,2554
Australia,Neonatal Disorders,19244
Australia,Drowning,6818
Australia,Malaria,0
Australia,Meningitis,1975
Australia,Alcohol Use Disorders,13171
Australia,Diabetes Mellitus,100026
Austria,Drug Use Disorders,4841
Austria,Alzheimer's Disease and Other Dementias,101351
Austria,Cirrhosis and Other Chronic Liver Diseases,60850
Austria,Lower Respiratory Infections,34197
Austria,Digestive Diseases,105037
Austria,Parkinson's Disease,23665
Austria,Malaria,0
Austria,Neoplasms,624487
Austria,Self-harm,46764
Austria,Conflict and Terrorism,30
Austria,Tuberculosis,2251
Austria,Maternal Disorders,113
Austria,HIV/AIDS,2005
Austria,Drowning,2406
Austria,Chronic Respiratory Diseases,85450
Austria,Exposure to Forces of Nature,336
Austria,Road Injuries,24587
Austria,Chronic Kidney Disease,56142
Austria,Neonatal Disorders,5440
Austria,Meningitis,1152
Austria,Interpersonal Violence,2334
Austria,Alcohol Use Disorders,11262
Austria,Cardiovascular Diseases,1031672
Austria,Diabetes Mellitus,59349
Austria,Diarrheal Diseases,1495
Austria,Nutritional Deficiencies,239
Austria,Environmental Heat and Cold Exposure,923
Austria,Poisonings,822
Austria,"Fire, Heat, and Hot Substances",1553
Austria,Protein-Energy Malnutrition,40
Austria,Acute Hepatitis,98
Azerbaijan,Conflict and Terrorism,5883
Azerbaijan,Chronic Kidney Disease,29145
Azerbaijan,Chronic Respiratory Diseases,57915
Azerbaijan,Malaria,32
Azerbaijan,Lower Respiratory Infections,146930
Azerbaijan,"Fire, Heat, and Hot Substances",14459
Azerbaijan,Neonatal Disorders,82492
Azerbaijan,Nutritional Deficiencies,2151
Azerbaijan,Self-harm,9604
Azerbaijan,Cardiovascular Diseases,1026714
Azerbaijan,Poisonings,2991
Azerbaijan,Exposure to Forces of Nature,208
Azerbaijan,Diabetes Mellitus,44141
Azerbaijan,Diarrheal Diseases,17970
Azerbaijan,Environmental Heat and Cold Exposure,4232
Azerbaijan,Meningitis,4272
Azerbaijan,Alcohol Use Disorders,6620
Azerbaijan,Tuberculosis,30739
Azerbaijan,Parkinson's Disease,7147
Azerbaijan,Protein-Energy Malnutrition,1653
Azerbaijan,Drug Use Disorders,833
Azerbaijan,Interpersonal Violence,19861
Azerbaijan,Cirrhosis and Other Chronic Liver Diseases,78289
Azerbaijan,HIV/AIDS,1152
Azerbaijan,Road Injuries,24840
Azerbaijan,Digestive Diseases,102820
Azerbaijan,Neoplasms,263680
Azerbaijan,Drowning,13279
Azerbaijan,Alzheimer's Disease and Other Dementias,25190
Azerbaijan,Maternal Disorders,1611
Azerbaijan,Acute Hepatitis,1385
Bahamas,Drowning,714
Bahamas,Meningitis,123
Bahamas,Chronic Respiratory Diseases,1053
Bahamas,Parkinson's Disease,323
Bahamas,"Fire, Heat, and Hot Substances",297
Bahamas,Environmental Heat and Cold Exposure,30
Bahamas,Digestive Diseases,2655
Bahamas,HIV/AIDS,4845
Bahamas,Poisonings,36
Bahamas,Maternal Disorders,109
Bahamas,Neonatal Disorders,1071
Bahamas,Protein-Energy Malnutrition,144
Bahamas,Lower Respiratory Infections,2208
Bahamas,Conflict and Terrorism,15
Bahamas,Malaria,0
Bahamas,Exposure to Forces of Nature,107
Bahamas,Self-harm,278
Bahamas,Cirrhosis and Other Chronic Liver Diseases,1401
Bahamas,Alcohol Use Disorders,379
Bahamas,Diabetes Mellitus,3203
Bahamas,Interpersonal Violence,2437
Bahamas,Alzheimer's Disease and Other Dementias,1167
Bahamas,Nutritional Deficiencies,170
Bahamas,Diarrheal Diseases,147
Bahamas,Tuberculosis,242
Bahamas,Acute Hepatitis,9
Bahamas,Road Injuries,1751
Bahamas,Chronic Kidney Disease,2086
Bahamas,Drug Use Disorders,43
Bahamas,Cardiovascular Diseases,18249
Bahamas,Neoplasms,11673
Bahrain,Alcohol Use Disorders,116
Bahrain,Drug Use Disorders,59
Bahrain,Protein-Energy Malnutrition,103
Bahrain,Neoplasms,13173
Bahrain,Interpersonal Violence,697
Bahrain,Digestive Diseases,3968
Bahrain,Environmental Heat and Cold Exposure,17
Bahrain,Diarrheal Diseases,263
Bahrain,Meningitis,113
Bahrain,Drowning,384
Bahrain,Road Injuries,4618
Bahrain,Parkinson's Disease,331
Bahrain,Tuberculosis,360
Bahrain,Diabetes Mellitus,9552
Bahrain,Cirrhosis and Other Chronic Liver Diseases,2411
Bahrain,Chronic Kidney Disease,2804
Bahrain,Chronic Respiratory Diseases,3538
Bahrain,Cardiovascular Diseases,25731
Bahrain,"Fire, Heat, and Hot Substances",371
Bahrain,Self-harm,1897
Bahrain,Conflict and Terrorism,58
Bahrain,Alzheimer's Disease and Other Dementias,1015
Bahrain,Nutritional Deficiencies,109
Bahrain,Lower Respiratory Infections,1594
Bahrain,Exposure to Forces of Nature,0
Bahrain,Maternal Disorders,167
Bahrain,Neonatal Disorders,2052
Bahrain,Acute Hepatitis,106
Bahrain,HIV/AIDS,276
Bahrain,Poisonings,58
Bahrain,Malaria,0
Bangladesh,Malaria,349375
Bangladesh,Cardiovascular Diseases,6123691
Bangladesh,Poisonings,15411
Bangladesh,Protein-Energy Malnutrition,599026
Bangladesh,Drug Use Disorders,6583
Bangladesh,Road Injuries,249894
Bangladesh,Drowning,711803
Bangladesh,Tuberculosis,1441614
Bangladesh,Environmental Heat and Cold Exposure,4791
Bangladesh,Digestive Diseases,1250266
Bangladesh,Interpersonal Violence,112401
Bangladesh,Neoplasms,2064156
Bangladesh,HIV/AIDS,4434
Bangladesh,Maternal Disorders,314015
Bangladesh,Lower Respiratory Infections,2062670
Bangladesh,Nutritional Deficiencies,702268
Bangladesh,Conflict and Terrorism,3456
Bangladesh,Chronic Respiratory Diseases,1750541
Bangladesh,Chronic Kidney Disease,282841
Bangladesh,Diabetes Mellitus,597943
Bangladesh,Neonatal Disorders,2772388
Bangladesh,Cirrhosis and Other Chronic Liver Diseases,768520
Bangladesh,Meningitis,94565
Bangladesh,Alzheimer's Disease and Other Dementias,227497
Bangladesh,Self-harm,260847
Bangladesh,Diarrheal Diseases,1579876
Bangladesh,"Fire, Heat, and Hot Substances",47594
Bangladesh,Parkinson's Disease,75527
Bangladesh,Exposure to Forces of Nature,155003
Bangladesh,Acute Hepatitis,166599
Bangladesh,Alcohol Use Disorders,7907
Barbados,Diabetes Mellitus,7606
Barbados,Lower Respiratory Infections,3911
Barbados,Cirrhosis and Other Chronic Liver Diseases,1124
Barbados,Drug Use Disorders,24
Barbados,Self-harm,398
Barbados,Neonatal Disorders,885
Barbados,Acute Hepatitis,9
Barbados,Cardiovascular Diseases,23478
Barbados,Environmental Heat and Cold Exposure,0
Barbados,Diarrheal Diseases,170
Barbados,Nutritional Deficiencies,255
Barbados,Chronic Respiratory Diseases,1451
Barbados,Chronic Kidney Disease,2496
Barbados,Road Injuries,952
Barbados,Interpersonal Violence,902
Barbados,Alcohol Use Disorders,173
Barbados,Maternal Disorders,59
Barbados,Protein-Energy Malnutrition,175
Barbados,Malaria,0
Barbados,Exposure to Forces of Nature,3
Barbados,Neoplasms,17933
Barbados,Conflict and Terrorism,10
Barbados,Meningitis,134
Barbados,HIV/AIDS,1189
Barbados,Poisonings,19
Barbados,Digestive Diseases,2710
Barbados,Tuberculosis,70
Barbados,Drowning,349
Barbados,Alzheimer's Disease and Other Dementias,2385
Barbados,Parkinson's Disease,597
Barbados,"Fire, Heat, and Hot Substances",146
Belarus,Digestive Diseases,118136
Belarus,Exposure to Forces of Nature,43
Belarus,HIV/AIDS,7361
Belarus,Poisonings,17426
Belarus,Environmental Heat and Cold Exposure,27053
Belarus,Chronic Kidney Disease,12560
Belarus,"Fire, Heat, and Hot Substances",24666
Belarus,Meningitis,2989
Belarus,Interpersonal Violence,33747
Belarus,Nutritional Deficiencies,1775
Belarus,Drowning,37908
Belarus,Maternal Disorders,614
Belarus,Alzheimer's Disease and Other Dementias,83681
Belarus,Protein-Energy Malnutrition,912
Belarus,Alcohol Use Disorders,77811
Belarus,Malaria,0
Belarus,Chronic Respiratory Diseases,131458
Belarus,Drug Use Disorders,8320
Belarus,Road Injuries,60793
Belarus,Lower Respiratory Infections,40752
Belarus,Diarrheal Diseases,814
Belarus,Neonatal Disorders,12194
Belarus,Diabetes Mellitus,17117
Belarus,Self-harm,100503
Belarus,Cardiovascular Diseases,2310287
Belarus,Neoplasms,631190
Belarus,Conflict and Terrorism,104
Belarus,Tuberculosis,17232
Belarus,Acute Hepatitis,775
Belarus,Parkinson's Disease,16259
Belarus,Cirrhosis and Other Chronic Liver Diseases,61628
Belgium,Meningitis,1691
Belgium,Nutritional Deficiencies,7089
Belgium,Maternal Disorders,232
Belgium,Neonatal Disorders,7634
Belgium,Digestive Diseases,153724
Belgium,Alcohol Use Disorders,11944
Belgium,Neoplasms,921997
Belgium,Drowning,2770
Belgium,Alzheimer's Disease and Other Dementias,138986
Belgium,Chronic Respiratory Diseases,209375
Belgium,Drug Use Disorders,4941
Belgium,Cardiovascular Diseases,1037826
Belgium,Protein-Energy Malnutrition,6140
Belgium,Cirrhosis and Other Chronic Liver Diseases,59178
Belgium,HIV/AIDS,2996
Belgium,Self-harm,68836
Belgium,Conflict and Terrorism,165
Belgium,Poisonings,1636
Belgium,Parkinson's Disease,30009
Belgium,Diabetes Mellitus,52810
Belgium,Interpersonal Violence,5780
Belgium,Environmental Heat and Cold Exposure,1402
Belgium,Diarrheal Diseases,15117
Belgium,Exposure to Forces of Nature,44
Belgium,Chronic Kidney Disease,62771
Belgium,Road Injuries,41391
Belgium,Acute Hepatitis,257
Belgium,Tuberculosis,3692
Belgium,"Fire, Heat, and Hot Substances",4190
Belgium,Malaria,0
Belgium,Lower Respiratory Infections,152118
Belize,Chronic Kidney Disease,1792
Belize,Malaria,5
Belize,Alzheimer's Disease and Other Dementias,855
Belize,Digestive Diseases,1902
Belize,Nutritional Deficiencies,393
Belize,Chronic Respiratory Diseases,1325
Belize,Self-harm,525
Belize,Parkinson's Disease,205
Belize,Neonatal Disorders,2127
Belize,HIV/AIDS,1842
Belize,Acute Hepatitis,11
Belize,Cirrhosis and Other Chronic Liver Diseases,1151
Belize,Conflict and Terrorism,54
Belize,Diabetes Mellitus,2757
Belize,Exposure to Forces of Nature,64
Belize,Lower Respiratory Infections,2590
Belize,Meningitis,101
Belize,Diarrheal Diseases,442
Belize,Cardiovascular Diseases,9582
Belize,"Fire, Heat, and Hot Substances",107
Belize,Neoplasms,5367
Belize,Poisonings,60
Belize,Road Injuries,1785
Belize,Interpersonal Violence,1935
Belize,Tuberculosis,417
Belize,Maternal Disorders,114
Belize,Protein-Energy Malnutrition,361
Belize,Alcohol Use Disorders,175
Belize,Drowning,607
Belize,Drug Use Disorders,21
Belize,Environmental Heat and Cold Exposure,0
Benin,Cirrhosis and Other Chronic Liver Diseases,46718
Benin,Tuberculosis,79509
Benin,Drowning,11517
Benin,Neoplasms,101713
Benin,Exposure to Forces of Nature,122
Benin,Diabetes Mellitus,29925
Benin,Acute Hepatitis,6281
Benin,Lower Respiratory Infections,271088
Benin,Diarrheal Diseases,196720
Benin,Road Injuries,45197
Benin,Interpersonal Violence,16162
Benin,Nutritional Deficiencies,44748
Benin,Alcohol Use Disorders,1401
Benin,Drug Use Disorders,261
Benin,Self-harm,14955
Benin,Malaria,316834
Benin,Alzheimer's Disease and Other Dementias,13464
Benin,Protein-Energy Malnutrition,43399
Benin,Conflict and Terrorism,31
Benin,Poisonings,5654
Benin,Maternal Disorders,34853
Benin,Meningitis,69978
Benin,Chronic Kidney Disease,33309
Benin,"Fire, Heat, and Hot Substances",7791
Benin,Environmental Heat and Cold Exposure,1751
Benin,Parkinson's Disease,3804
Benin,Digestive Diseases,79638
Benin,Cardiovascular Diseases,246509
Benin,Neonatal Disorders,321322
Benin,HIV/AIDS,80892
Benin,Chronic Respiratory Diseases,44797
Bermuda,Protein-Energy Malnutrition,0
Bermuda,Parkinson's Disease,170
Bermuda,Cardiovascular Diseases,5384
Bermuda,Chronic Respiratory Diseases,400
Bermuda,Exposure to Forces of Nature,6
Bermuda,"Fire, Heat, and Hot Substances",0
Bermuda,Drug Use Disorders,33
Bermuda,Road Injuries,258
Bermuda,Environmental Heat and Cold Exposure,0
Bermuda,Tuberculosis,0
Bermuda,Cirrhosis and Other Chronic Liver Diseases,233
Bermuda,Diarrheal Diseases,11
Bermuda,Chronic Kidney Disease,391
Bermuda,Poisonings,5
Bermuda,Maternal Disorders,0
Bermuda,Alcohol Use Disorders,30
Bermuda,Acute Hepatitis,0
Bermuda,Malaria,0
Bermuda,Self-harm,94
Bermuda,Digestive Diseases,516
Bermuda,Nutritional Deficiencies,6
Bermuda,HIV/AIDS,313
Bermuda,Drowning,72
Bermuda,Meningitis,10
Bermuda,Neonatal Disorders,64
Bermuda,Lower Respiratory Infections,418
Bermuda,Alzheimer's Disease and Other Dementias,562
Bermuda,Neoplasms,4156
Bermuda,Interpersonal Violence,63
Bermuda,Diabetes Mellitus,615
Bermuda,Conflict and Terrorism,0
Bhutan,Maternal Disorders,1434
Bhutan,Interpersonal Violence,282
Bhutan,"Fire, Heat, and Hot Substances",272
Bhutan,Cardiovascular Diseases,25967
Bhutan,Environmental Heat and Cold Exposure,51
Bhutan,Road Injuries,2102
Bhutan,Neonatal Disorders,15910
Bhutan,Lower Respiratory Infections,8369
Bhutan,Diarrheal Diseases,6418
Bhutan,HIV/AIDS,615
Bhutan,Acute Hepatitis,650
Bhutan,Diabetes Mellitus,2597
Bhutan,Conflict and Terrorism,13
Bhutan,Neoplasms,9634
Bhutan,Parkinson's Disease,451
Bhutan,Protein-Energy Malnutrition,665
Bhutan,Nutritional Deficiencies,867
Bhutan,Drowning,935
Bhutan,Tuberculosis,5631
Bhutan,Exposure to Forces of Nature,263
Bhutan,Cirrhosis and Other Chronic Liver Diseases,4355
Bhutan,Alcohol Use Disorders,158
Bhutan,Chronic Respiratory Diseases,12813
Bhutan,Digestive Diseases,7442
Bhutan,Malaria,4241
Bhutan,Poisonings,91
Bhutan,Drug Use Disorders,39
Bhutan,Meningitis,1565
Bhutan,Self-harm,1120
Bhutan,Alzheimer's Disease and Other Dementias,1319
Bhutan,Chronic Kidney Disease,2879
Bolivia,Drowning,17931
Bolivia,Lower Respiratory Infections,224508
Bolivia,Malaria,787
Bolivia,Conflict and Terrorism,25
Bolivia,Protein-Energy Malnutrition,36918
Bolivia,Chronic Kidney Disease,78087
Bolivia,Digestive Diseases,131926
Bolivia,Poisonings,2843
Bolivia,Diabetes Mellitus,69124
Bolivia,Self-harm,17950
Bolivia,Acute Hepatitis,961
Bolivia,"Fire, Heat, and Hot Substances",6173
Bolivia,Maternal Disorders,20557
Bolivia,Diarrheal Diseases,45190
Bolivia,Alzheimer's Disease and Other Dementias,24922
Bolivia,HIV/AIDS,18229
Bolivia,Meningitis,8475
Bolivia,Cardiovascular Diseases,336227
Bolivia,Interpersonal Violence,17062
Bolivia,Drug Use Disorders,1092
Bolivia,Neoplasms,273812
Bolivia,Neonatal Disorders,155501
Bolivia,Environmental Heat and Cold Exposure,669
Bolivia,Alcohol Use Disorders,8816
Bolivia,Chronic Respiratory Diseases,76607
Bolivia,Exposure to Forces of Nature,1172
Bolivia,Road Injuries,58489
Bolivia,Cirrhosis and Other Chronic Liver Diseases,68986
Bolivia,Parkinson's Disease,9852
Bolivia,Nutritional Deficiencies,39396
Bolivia,Tuberculosis,80073
Bosnia and Herzegovina,Tuberculosis,6806
Bosnia and Herzegovina,Neoplasms,237661
Bosnia and Herzegovina,Cirrhosis and Other Chronic Liver Diseases,20590
Bosnia and Herzegovina,Drowning,2063
Bosnia and Herzegovina,Meningitis,478
Bosnia and Herzegovina,Poisonings,1887
Bosnia and Herzegovina,Cardiovascular Diseases,500781
Bosnia and Herzegovina,Acute Hepatitis,161
Bosnia and Herzegovina,Neonatal Disorders,7523
Bosnia and Herzegovina,Parkinson's Disease,7552
Bosnia and Herzegovina,Protein-Energy Malnutrition,47
Bosnia and Herzegovina,"Fire, Heat, and Hot Substances",2000
Bosnia and Herzegovina,Self-harm,12940
Bosnia and Herzegovina,Digestive Diseases,38172
Bosnia and Herzegovina,Malaria,0
Bosnia and Herzegovina,Nutritional Deficiencies,117
